,location,total_sqft,bath,balcony,price,bedrooms
0,Pune,1642.41,1,2,397.74,2
1,Kolkata,3473.11,4,0,178.08,1
2,Delhi,4324.26,1,3,186.3,4
3,Bangalore,2665.24,2,1,427.78,4
4,Ahmedabad,1332.57,3,0,150.96,1
5,Delhi,4686.76,3,3,459.05,1
7,Chennai,3300.69,3,0,231.92,1
8,Pune,3295.65,2,0,374.53,4
9,Delhi,2828.27,3,1,240.49,1
10,Hyderabad,2966.84,4,2,134.0,1
11,Pune,4872.81,2,2,248.45,2
12,Kolkata,3067.89,4,3,236.66,2
13,Bangalore,2939.89,3,2,301.76,4
14,Chennai,3795.37,1,0,253.89,1
15,Bangalore,3936.01,3,0,417.05,4
16,Delhi,2096.47,4,1,67.19,1
18,Mumbai,667.19,1,1,32.73,1
20,Chennai,1349.75,1,3,60.29,2
21,Mumbai,4504.28,2,0,321.74,2
22,Hyderabad,1487.29,3,3,109.81,1
23,Mumbai,2169.51,3,1,450.88,2
25,Bangalore,2505.69,3,2,277.63,2
26,Mumbai,4877.74,3,0,355.89,3
27,Ahmedabad,1819.92,1,3,149.31,4
29,Kolkata,893.04,1,2,489.33,1
30,Delhi,4695.93,2,1,288.43,4
31,Chennai,4293.38,3,1,417.41,4
32,Kolkata,698.26,2,1,390.37,2
33,Ahmedabad,4752.58,4,0,143.51,1
34,Hyderabad,4155.35,3,2,169.84,2
35,Pune,2991.08,2,2,141.65,2
37,Mumbai,4331.64,4,0,296.48,2
38,Pune,1358.6,4,0,121.51,3
39,Hyderabad,3823.97,1,1,75.52,2
40,Mumbai,2237.99,1,0,464.79,3
41,Chennai,4928.1,2,2,198.1,1
42,Ahmedabad,4804.54,1,0,159.62,1
44,Bangalore,1315.82,1,2,40.91,1
46,Ahmedabad,1488.87,2,3,389.85,1
47,Mumbai,1125.54,3,0,65.63,1
48,Chennai,3710.29,4,0,168.94,2
49,Bangalore,4364.14,3,3,411.11,2
50,Ahmedabad,4973.13,3,2,160.11,2
51,Ahmedabad,1633.62,2,0,179.72,2
52,Pune,947.43,2,0,239.3,2
54,Hyderabad,3084.98,2,2,392.24,2
56,Chennai,2179.91,2,3,146.8,4
57,Chennai,1150.88,2,2,424.91,1
58,Hyderabad,3112.09,2,0,380.52,2
59,Ahmedabad,4135.59,3,0,487.5,1
60,Chennai,2070.0,3,1,71.64,3
61,Chennai,1458.73,2,3,347.26,2
62,Mumbai,1780.05,4,2,373.1,1
63,Delhi,4624.89,3,3,183.88,4
64,Chennai,1685.04,2,2,281.63,1
65,Hyderabad,3643.52,1,0,116.49,4
66,Mumbai,3944.18,3,2,99.82,1
67,Delhi,4295.11,4,1,190.83,2
68,Bangalore,3882.43,2,3,296.72,1
69,Kolkata,2467.89,1,2,205.84,2
70,Delhi,1326.28,4,3,414.08,2
71,Pune,1887.52,2,3,366.82,1
72,Kolkata,2068.7,1,0,353.71,3
73,Chennai,1578.94,2,0,418.54,1
74,Mumbai,3588.65,1,3,94.09,1
77,Ahmedabad,1742.59,3,3,265.03,2
78,Mumbai,3927.82,4,0,256.24,2
79,Kolkata,348.03,4,3,247.34,1
80,Pune,4287.69,1,3,85.64,1
81,Mumbai,4969.0,1,3,301.55,4
82,Ahmedabad,2641.52,4,1,420.82,1
84,Hyderabad,679.72,4,0,164.1,1
87,Ahmedabad,3424.3,2,0,151.84,4
88,Chennai,4560.75,2,2,492.68,3
89,Pune,2726.46,4,1,245.83,1
90,Kolkata,4178.41,2,3,243.06,2
91,Pune,1929.51,3,1,122.75,1
92,Kolkata,3590.11,4,3,337.52,2
93,Chennai,4302.32,3,0,359.6,1
94,Kolkata,4558.08,3,0,67.67,1
95,Pune,4241.7,1,1,126.6,2
96,Delhi,884.64,3,3,106.44,2
97,Kolkata,2451.78,1,0,323.57,4
98,Delhi,2378.87,2,1,393.67,4
99,Delhi,1525.28,1,2,417.27,1
100,Chennai,2736.15,3,0,80.5,1
101,Bangalore,3144.44,4,1,49.67,4
