area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Immediate Possession,Pune,2 RK,Palm Meadows,1642.41,1,2,397.74
Plot Area,Ready To Move,Kolkata,1 BHK,Skyline View,3473.11,4,0,178.08
Carpet Area,Under Construction,Delhi,4 BHK,Skyline View,4324.26,1,3,186.3
Super built-up Area,Immediate Possession,Bangalore,4 BHK,Oceanic Towers,2665.24,2,1,427.78
Built-up Area,Ready To Move,Ahmedabad,1 RK,Palm Meadows,1332.57,3,0,150.96
Super built-up Area,Immediate Possession,Delhi,1 BHK,Luxury Enclave,4686.76,3,3,459.05
Built-up Area,Immediate Possession,Chennai,2 RK,Palm Meadows,2777.2,1,2,17.63
Plot Area,Ready To Move,Chennai,1 RK,Oceanic Towers,3300.69,3,0,231.92
Plot Area,Immediate Possession,Pune,4 BHK,Green Heights,3295.65,2,0,374.53
Built-up Area,Under Construction,Delhi,1 RK,Oceanic Towers,2828.27,3,1,240.49
Built-up Area,Ready To Move,Hyderabad,1 BHK,Dream Homes,2966.84,4,2,134.0
Carpet Area,Immediate Possession,Pune,2 RK,Skyline View,4872.81,2,2,248.45
Carpet Area,Under Construction,Kolkata,2 BHK,Dream Homes,3067.89,4,3,236.66
Built-up Area,Under Construction,Bangalore,4 BHK,Sunrise Residency,2939.89,3,2,301.76
Built-up Area,Under Construction,Chennai,1 RK,Oceanic Towers,3795.37,1,0,253.89
Carpet Area,Immediate Possession,Bangalore,4 BHK,Palm Meadows,3936.01,3,0,417.05
Plot Area,Ready To Move,Delhi,1 BHK,Skyline View,2096.47,4,1,67.19
Super built-up Area,Immediate Possession,Delhi,4 BHK,Sunrise Residency,609.84,1,3,388.97
Super built-up Area,Immediate Possession,Mumbai,1 BHK,Luxury Enclave,667.19,1,1,32.73
Built-up Area,Immediate Possession,Mumbai,4 BHK,Oceanic Towers,447.1,4,3,400.27
Plot Area,Under Construction,Chennai,2 BHK,Sunrise Residency,1349.75,1,3,60.29
Carpet Area,Immediate Possession,Mumbai,2 RK,Green Heights,4504.28,2,0,321.74
Built-up Area,Ready To Move,Hyderabad,1 RK,Sunrise Residency,1487.29,3,3,109.81
Carpet Area,Ready To Move,Mumbai,2 RK,Sunrise Residency,2169.51,3,1,450.88
Super built-up Area,Under Construction,Chennai,2 RK,Green Heights,4220.0,1,2,39.77
Carpet Area,Under Construction,Bangalore,2 BHK,Dream Homes,2505.69,3,2,277.63
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Luxury Enclave,4877.74,3,0,355.89
Plot Area,Ready To Move,Ahmedabad,4 BHK,Dream Homes,1819.92,1,3,149.31
Super built-up Area,Ready To Move,Mumbai,4 BHK,Skyline View,468.77,4,2,456.95
Super built-up Area,Ready To Move,Kolkata,1 BHK,Skyline View,893.04,1,2,489.33
Super built-up Area,Under Construction,Delhi,4 BHK,Luxury Enclave,4695.93,2,1,288.43
Plot Area,Immediate Possession,Chennai,4 BHK,Palm Meadows,4293.38,3,1,417.41
Built-up Area,Immediate Possession,Kolkata,2 RK,Oceanic Towers,698.26,2,1,390.37
Super built-up Area,Under Construction,Ahmedabad,1 RK,Skyline View,4752.58,4,0,143.51
Plot Area,Immediate Possession,Hyderabad,2 RK,Luxury Enclave,4155.35,3,2,169.84
Built-up Area,Immediate Possession,Pune,2 RK,Sunrise Residency,2991.08,2,2,141.65
Built-up Area,Under Construction,Ahmedabad,3 BHK,Sunrise Residency,345.81,4,0,230.67
Carpet Area,Ready To Move,Mumbai,2 BHK,Palm Meadows,4331.64,4,0,296.48
Plot Area,Under Construction,Pune,3 BHK,Green Heights,1358.6,4,0,121.51
Plot Area,Under Construction,Hyderabad,2 BHK,Oceanic Towers,3823.97,1,1,75.52
Carpet Area,Under Construction,Mumbai,3 BHK,Green Heights,2237.99,1,0,464.79
Plot Area,Immediate Possession,Chennai,1 BHK,Palm Meadows,4928.1,2,2,198.1
Carpet Area,Ready To Move,Ahmedabad,1 RK,Skyline View,4804.54,1,0,159.62
Plot Area,Under Construction,Mumbai,2 BHK,Palm Meadows,334.13,2,2,257.97
Super built-up Area,Under Construction,Bangalore,1 BHK,Oceanic Towers,1315.82,1,2,40.91
Built-up Area,Ready To Move,Pune,4 BHK,Sunrise Residency,391.47,4,0,412.69
Plot Area,Ready To Move,Ahmedabad,1 RK,Palm Meadows,1488.87,2,3,389.85
Carpet Area,Under Construction,Mumbai,1 RK,Oceanic Towers,1125.54,3,0,65.63
Built-up Area,Under Construction,Chennai,2 BHK,Dream Homes,3710.29,4,0,168.94
Super built-up Area,Under Construction,Bangalore,2 BHK,Dream Homes,4364.14,3,3,411.11
Super built-up Area,Ready To Move,Ahmedabad,2 RK,Palm Meadows,4973.13,3,2,160.11
Plot Area,Under Construction,Ahmedabad,2 RK,Dream Homes,1633.62,2,0,179.72
Built-up Area,Ready To Move,Pune,2 BHK,Palm Meadows,947.43,2,0,239.3
Built-up Area,Under Construction,Hyderabad,4 BHK,Skyline View,996.86,1,3,379.71
Plot Area,Ready To Move,Hyderabad,2 RK,Palm Meadows,3084.98,2,2,392.24
Super built-up Area,Under Construction,Bangalore,3 BHK,Luxury Enclave,678.11,4,2,122.67
Built-up Area,Immediate Possession,Chennai,4 BHK,Skyline View,2179.91,2,3,146.8
Built-up Area,Ready To Move,Chennai,1 RK,Dream Homes,1150.88,2,2,424.91
Built-up Area,Immediate Possession,Hyderabad,2 RK,Oceanic Towers,3112.09,2,0,380.52
Carpet Area,Under Construction,Ahmedabad,1 RK,Dream Homes,4135.59,3,0,487.5
Super built-up Area,Ready To Move,Chennai,3 BHK,Oceanic Towers,2070.0,3,1,71.64
Built-up Area,Under Construction,Chennai,2 BHK,Oceanic Towers,1458.73,2,3,347.26
Built-up Area,Ready To Move,Mumbai,1 BHK,Luxury Enclave,1780.05,4,2,373.1
Carpet Area,Ready To Move,Delhi,4 BHK,Palm Meadows,4624.89,3,3,183.88
Plot Area,Immediate Possession,Chennai,1 BHK,Oceanic Towers,1685.04,2,2,281.63
Built-up Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,3643.52,1,0,116.49
Built-up Area,Ready To Move,Mumbai,1 BHK,Palm Meadows,3944.18,3,2,99.82
Plot Area,Immediate Possession,Delhi,2 RK,Dream Homes,4295.11,4,1,190.83
Built-up Area,Immediate Possession,Bangalore,1 RK,Green Heights,3882.43,2,3,296.72
Plot Area,Ready To Move,Kolkata,2 BHK,Skyline View,2467.89,1,2,205.84
Plot Area,Immediate Possession,Delhi,2 BHK,Skyline View,1326.28,4,3,414.08
Super built-up Area,Ready To Move,Pune,1 RK,Dream Homes,1887.52,2,3,366.82
Super built-up Area,Immediate Possession,Kolkata,3 BHK,Dream Homes,2068.7,1,0,353.71
Plot Area,Ready To Move,Chennai,1 RK,Oceanic Towers,1578.94,2,0,418.54
Built-up Area,Under Construction,Mumbai,1 BHK,Luxury Enclave,3588.65,1,3,94.09
Super built-up Area,Immediate Possession,Pune,2 BHK,Green Heights,375.32,3,2,114.99
